,fantasy_pts,fg_made,fg_missed,opponent,pass_att,pass_tds,pass_yds,player_id,player_name,player_team,position,rec_recs,rec_tds,rec_yds,result,rush_att,rush_tds,rush_yds,turnovers,twoptm,week,xp_made,year
9176,4.0,0,0,OAK,0,0,0,00-0026178,J.Carlson,SEA,TE,3,0,47,False,0,0,0,0,0,8,0,2010
9177,1.0,0,0,OAK,0,0,0,00-0015754,B.Stokley,SEA,WR,1,0,13,False,0,0,0,0,0,8,0,2010
9178,0.0,0,0,OAK,0,0,0,00-0027063,D.Butler,SEA,,1,0,4,False,0,0,0,0,0,8,0,2010
9179,0.0,0,0,SEA,0,0,0,00-0026228,B.Davis,OAK,,0,0,0,True,0,0,0,0,0,8,0,2010
9180,0.0,0,0,OAK,0,0,0,00-0025826,T.Polumbus,SEA,T,0,0,0,False,0,0,0,0,0,8,0,2010
9181,0.0,0,0,SEA,0,0,0,00-0022836,R.Gallery,OAK,,0,0,0,True,0,0,0,0,0,8,0,2010
9182,0.0,0,0,OAK,0,0,0,00-0022870,S.Andrews,SEA,,0,0,0,False,0,0,0,0,0,8,0,2010
9183,14.0,0,0,NO,0,0,0,00-0026163,R.Mendenhall,PIT,RB,2,0,14,False,15,1,71,0,0,8,0,2010
9184,4.0,0,0,NO,28,0,195,00-0022924,B.Roethlisberger,PIT,QB,0,0,0,False,1,0,-1,1,0,8,0,2010
9185,1.0,0,0,NO,0,0,0,00-0022217,M.Moore,PIT,,0,0,0,False,2,0,19,0,0,8,0,2010
9186,0.0,0,0,NO,0,0,0,00-0025499,D.Sepulveda,PIT,,0,0,0,False,0,0,0,0,0,8,0,2010
9187,15.0,0,0,PIT,44,2,305,00-0020531,D.Brees,NO,QB,0,0,0,True,3,0,-2,2,0,8,0,2010
9188,7.0,0,0,PIT,0,0,0,00-0025414,R.Meachem,NO,WR,6,0,76,True,0,0,0,0,0,8,0,2010
